el,en
noble rot,ευγενής σήψη
nobody,κανείς
nocturnal,νυχτερινός
nod,κουνώ το κεφάλι
noddle,κεφάλι
node,όζος
nod off,λαγοκοιμάμαι
no end,αμέτρητα
no entry,απαγορεύεται η είσοδος
no fault divorce,συναινετικό διαζύγιο
noise,θόρυβος
noise pollution,ηχορύπανση
noise squelch muting,περιορισμός θορύβων
noise temperature,θερμοκρασία θορύβου
noisy,θορυβώδης
no longer,όχι πιά
no longer use,δεν χρησιμοποιώ πιά
nolt,μανταλώνω
nomad,νομάς
nomadic,φερέοικος
no matter what I do,ότι κι αν κάνω
no matter what i do,ότι κι αν κάνω
nomenclature,ονοματολογία
nominal,ονομαστικός
nominate,διορίζω
nomination,χρίσμα
nominative,ονομαστικός
non-,μη -
nonchalant,ράθυμος
non combatant,άμαχος
non-commissioned officer,υπαξιωματικός
non compliance,έλλειψη συμμόρφωσης
non compos mentis,μη υγιής στο πνεύμα
nondescript,που δεν ξεχωρίζει καθόλου
none,κανένας
nonentity,ασήμαντος άνθρωπος
none of them,κανένας από αυτούς
nonetheless,όμως
nonplus,φέρνω σε αμηχανία
non profit making,μη κερδοσκοπικός
non return,ανεύ επιστροφής
nonsense,βλακίες
nonsensical,ανόητος
non-stick,αντικολλητικό
nook,γωνία
noon,μεσημέρι
no one,κανείς
no par value share,μετοχή χωρίς ονομαστική αξία
nor,ούτε
no result,μηδέν στο πηλίκο
norm,νόρμα
normal,κανονικός
normally,κανονικά
Norse,μεσαιωνική ισλανδική γλώσσα
norse,μεσαιωνική ισλανδική γλώσσα
north,Βοράς
north east,βορειοανατολικό
northern,βόρειος
North Sea,Βόρεια Θάλασσα
north sea,Βόρεια Θάλασσα
north west,βορειοδυτικό
Norway,Νορβηγία
norway,Νορβηγία
Norwegian,νορβηγικός
norwegian,νορβηγικός
nose,μύτη
nose bleed,επίσταξη
nosh,μάσα
no smoking,απαγορεύεται το κάπνισμα
no sooner said than done,αμ' έπος αμ' έργον
nostalgia,νοσταλγία
nostalgic,νοσταλγικός
nostril,ρουθούνι
nostrils,ρουθούνια
nosy,αδιάκριτος
not,δεν
notable,αξιοσημείωτος
not all it's cracked up to be,αλλά όχι και τόσο να καλό
notary,συμβολαιογράφος
not at all,καθόλου
not be able to,αδυνατώ
notch brittleness,ευθραυστότητα από εγκοπή
notched,με εγκοπή
notch sensitivity,ευαισθισία σε εγκοπή
not confiscated,ακατάσχετος
note,σημειώνω
notebook,καρνέ
noted for,φημισμένος για
notepaper,χαρτί σημειώσεων
noteworthy,αξιοσημείωτα
Noth,βοράς
noth,βοράς
nothing,τίποτα
notice,πίνακας
noticeable,αξιοσημείωτος
notify,γνωστοποιώ
not in my life,ποτέ στη ζωή μου
notion,ιδέα
not merely ... but,όχι μόνο ... αλλά
notoriety,κακοφημία
notorious,διαβόητος
notorious for,περιβόητος
notoriously,περιβόητα
not sit well with me,δεν μου πηγαίνει καλά να
not so good as,όχι τόσο καλός όσο
not sunny,ανήλιος
not to be trusted,δεν έχω μπέσα
not uniform,ανομοιογενής
noun,ουσιαστικό
nourish,τρέφω
nourishment,τροφή
novel,μυθιστόρημα
novelist,μυθιστοριογράφος
November,Νοέμβριος
november,Νοέμβριος
now,τώρα
nowadays,αυτές τις ημέρες
nowhere,πουθενά
noxious,επιζήμιος
nozzle,ακροφύσι ψεχασμού
nuance,απόχρωση
nucelar generator,πυρηνική γεννήτρια
nuclar warfare,πυρηνικός πόλεμος
nuclear,πυρηνικός
nuclear family,πυρηνική οικογένεια
nuclear medicine,πυρηνική ιατρική
nuclear power,πυρηνική ενέργεια
nuclei,πυρήνες
nucleus,πυρήνας
nudism,γυμνισμός
nuisance,μπελάς
nullify,ανατρέπω
numb,μουδιασμένος
number,αριθμίζω
number plate,πινακίδα
numbness,μούδιασμα
numerous,πολυάριθμος
nun,μοναχή
nunnery,μονή
nurse,βάγια
nursery,φυτώριο
nursery school,νηπιογωγείο
nursing,νοσηλεία
nursing staff,νοσηλευτικό προσωπικό
nurture,τρέφω
nut,παξιμάδι
nute swan,βουβόκυκνος
nutmeg,μοσχοκάρυδο
nutrient,θρεπτική ουσία
nutrient laden,γεμάτος θρεπτικές ουσίες
nutrition,θρέψη
nutritional,θρεπτικός
nutritional value,θρεπτική αξία
nutritious,θρεπτικός
nuts,φυστίκια
nylon,νάυλον
oak,δρύινος
oaken,δρύινος
oar,κουπί
oasis,όαση
oast,φούρνος γιά λυκίσκο
oath,όρκος
oats,βρώμη
obdurate,αμετανόητος
obedient,υπάκουος
obedient to,υπάκουος
obelisk,οβελίσκος
obese,παχύσαρκος
obesity,παχυσαρκία
obey,υπακούω
obfuscate,συσκοτίζω
obituary,νεκρολογία
object,φέρνω αντίρρηση
objection,αντίρρηση
objectionable,απαράδεκτος
objection to,αντίρρηση
objective,αντικειμενικός
object of ridicule,στόχος κοροϊδίας
object to,έχω αντιρρήσεις
objurgate,επικρίνω
obligation,υποχρέωση
obligatory,υποχρεωτικός
oblige,υποχρεώνω
oblique,λοξός
oblique angle,οξεία γωνία
obliquity,λοξότητα
oblivion,λήθη
oblong,επιμήκης
oboe,όμποε
obscene,άσεμνος
obscure,κρύβω
obsequious,δουλοπρεπής
observation,παρακολούθηση
observatory,παρατηρητήριο
observe,τηρώ
observer,παρατηρητής
obsessed,με έμμονη ιδέα
obsession,έμμονη ιδέα
obsessive,έμμονος
obsessive neurotic,ψυχαναγκασμός
obsesssive compulsive,ιδεοληπτικός
obsidian,οψιανός
obsolescence,αχρησία
obsolete,απαρχαιωμένος
obstacle,φραγμός
obstetrician,μαιευτήρας
obstetrics,μαιευτική
obstinacy,πείσμα
obstinate,πεισμωμένος
obstruct,παρακωλύω
obstruction,στένωση
obstructively,με εμπόδια
obtain,προμηθεύομαι
obtainable,ευαπόκτητος
obtain from,αποκτώ
obtaining,που αποκτεί
obtain permission,παίρνω την άδεια
obvious,φανερός
obviously,εμφανώς
occasion,περίπτωση
occasional,σποραδικός
occasionally,πότε-πότε
occasional rain,βροχή κατά διαστήματα
occiput,ινίον
occult,απόκρυφος
occupant,κάτοχος
occupation,επάγγελμα
occupational,επαγγελματικός
occupational hazard,επαγγελματικός κίνδυνος
occupational therapy,εργασιοθεραπεία
occupied,κατειλημμένος
occupied with,απασχολημένος με
occupy,καταλαμβάνω
occupy oneself with,καταγίνομαι
occupy with,απασχολούμαι
occur,συμβαίνω
occurrence,περιστατικό
occur to,έρχομαι στο νου
ocean,ωκεανός
ocean liner,υπερωκεάνειο
oceanographer,ωκεανογράφος
ocean sunfish,φεγγαρόφαρο
ochre,ώχρα
October,Οκτώβριος
october,Οκτώβριος
octopus,χταπόδι
oculist,οφθαλμολόγος
odd,μονός
oddity,ιδιορρυθμία
oddly,παράξενα
oddment,ρετάλι
odds,πιθανότητες
odds and ends,πραγματάκια
ode,ωδή
odour,οσμή
of,από
of different sex,ετερόφυλος
of dubious quality,αμφίβολης ποιότητας
off,μακριά
off and on,κατά διαστήματα
offbeat,ασυνήθιστος
off by heart,απ'έξω
off colour,αδιάθετος
offence,αδίκημα
offend,προσβάλλω
offender,ένοχος
offensive,επίθεση
offer,προσφορά
offered by,προσφέρεται από
offer to,προσφέρω
office,γραφείο
office block,πολυώροφο χτίριο με γραφεία
office of Chancellor,γραφείο Καγκελαρίου
office of chancellor,γραφείο Καγκελαρίου
officer,αξιωματικός
official,αξιωματικός
officially,επίσημα
official report,επίσημη αναφορά
officiate,χοροστατώ
officiousness,πολυπραγμοσύνη
off school,απών από το σχολείο
offset,όφσετ
offsetting,συμψηφισμός
offshoot,παραφυάδα
offshore oil rig,πλατφόρμα άντλησης πετρελαίου
offside,όφσαϊντ
off stage,παρασκηνιακός
off the beaten track,μακριά από τη πεπατημένη
off the record,ανεπίσημα
off the road,στο συνεργείο για επισκευή
off work,απών από την δουλειά
of ill repute,σταμπαρισμένος
of late,πρόσφατα
of lesser importance,λιγότερης σημασίας
of no account,άνευ σημασίας
of no consequence,λίγης σημασίας
of no fixed abode,άνευ μονίμου διαμονής
of one's own accord,αυτόβουλα
of paramount importance,ύψιστης σημασίας
of public use,κοινόχρηστος
of repute,καλής φήμης
often,συχνά
of the worst kind,του χειρότερου είδους
oh dear,θέε μου
oil,λάδι
oil can,λαδωτήρι
oils,λαδομπογιά
oil shale,πετρελαιοφόρος σχιστόλιθος
oil slick,πετρελαιοκηλίδα
oil spill,διαρροή πετρελαίου
oil tanker,πετρελαιοφόρο
oil well,πηγάδι πετρλαίου
ointment,αλοιφή
OK,εντάξει
ok,εντάξει
okra,μπάμια
old,παλαιός
old age,γερατειά
old banger,παλιοσαράβολο
old campaigner,βετεράνος
older,παλιότερα
old fashioned,παλιομοδίτικος
old goat,γερόγατος
old hat,ξεπερασμένος
old maid,γεροντοκόρη
Old Nick,διάβολος
old nick,διάβολος
old woman,βάβα
old wreck,παλιοσαράβολο
oleander,ροδοδάφνη
oligarchy,ολιγαρχία
olive,ελιά
olive grove,ελαιώνας
olives,ελιές
Olympic,Ολυμπιακός
olympic,Ολυμπιακός
ombudsman,συνήγορος του πολίτη
omelette,ομελέτα
ominous,δυσοίωνος
ominously,δυσοίωνα
omission,παράλειψη
omit,παραλείπω
omnipotence,παντοδυναμία
omniscient,παντογνώστης
omnivore,παμφάγος
omnivorous,παμφάγος
on,σε
on account of,εξ αιτίας
on alert,σε επιφυλακή
on and off,κατά διαστήματα
on a par with,εφάμιλλος
on approval,μετά έγκρισής
on a shortlist,στην λίστα υποψηφίων
on a trip,σε ταξίδι
on average,κατά μέσο όρο
on behalf of,εκ μέρους
once,εφάπαξ
once a day,μία φορά την ημέρα
once upon a time,μια φορά κι ένα καιρό
on cloud nine,πανευτυχής
on condition,υπό τον όρο
on credit,επί πιστώσει
on demand,σε ζήτηση
one,ένα
one's heart sinks,απογοητεύομαι
one after the other,ένας πίσω από τον άλλο
one and only,μονακριβός
one-armed,κουλός
onerous,επαχθής
one to one,άτομο με άτομο
one way street,μονόδρομος
one who has just resigned,παρατηθείς
on file,στα αρχεία
on fire,σε φωτιά
on foot,με τα πόδια
on form,σε καλή κατάσταση
on Friday,την Παρασκευή
on friday,την Παρασκευή
on further acquaintance,όταν σε γνωρίζω καλύτερα
on his own,μόνος του
on holiday,στις διακοπές
on horseback,έφιππος
on hot coals,σε αναμμένα κάρβουνα
onion,κρεμμύδι
on loan,δανεικά
onlooker,θεατής
only,μόνο
on many occasions,πολλές φορές
on Monday morning,την Δευτέρα το πρωί
on monday morning,την Δευτέρα το πρωί
on my account,εξ αιτίας μου
on my birthday,τα γενέθλια μου
on my feet,στέκομαι στα ποδια μου
on no account,με κανένα τρόπο
on oath,ενόρκως
on offer,διαθέσιμος προς πώληση
on one's back,ανάσκελα
on one's guard,σε επιφυλακή
on one's own,μόνος
on one occasion,μία φορά
on order,το έχω παραγγείλει
on purpose,επίτηδες
on rare occasions,σε σπάνιες περιπτώσεις
on remand,εν προφυλακίσει
on second thoughts,με μεταγενέστερες σκέψεις
onset,αρχή
on shank's pony,με τα πόδια
on shore,στην ξηρά
on sight,πληρωτέο επί τη εμφανίσει
on site,εγκαταστημένος
onslaught,σφοδρή επίθεση
on stage,στη σκηνή
on the air,στον αέρα
on the beach,παρά θιν'αλός
on the cheap,φτηνά
on the clock,στο ρολόι
on the contrary,αντιθέτως
on the dole,άνεργος
on the drawing board,στα σκαριά
on the face of it,εκ πρώτης όψεως
on the grounds that,λόγω του ότι
on the increase,που αυξάνεται
on the level,τίμιος
on the lookout for,ψάχνω γιά
on the news,στις ειδήσεις
on the other hand,αφ' ετέρου
on the outskirts,στα περίχωρα
on the phone,στο τηλέφωνο
on the plane,στο αεροπλάνο
on the radio,στο ράδιο
on the rise,με αυξητική τάση
on the rocks,με πάγο
on the scene,επί τόπου
on the side,στη ζούλα
on the sly,στη ζούλα
on the spot,επί τόπου
on the strength of,βασιζόμενος σε
on the train,στο τρένο
on the trot,διαδοχικά
on the verge of,στο χείλος
on the very same day,αυθημερόν
on the way,στο δρόμο
on the way back,στο γυρισμό
on the way home,στο γυρισμό
on the way to,στο δρόμο προς
on the whole,γενικά
on time,πάνω στην ώρα
on tiptoe,στις μύτες των ποδιών
onto,πάνω
on trial,σε δίκη
on TV,στην τηλεόραση
on tv,στην τηλεόραση
onus,βάρος
onus of proof,βάρος αποδείξεως
ooze,λάσπη
opacity,αδιαφάνεια
opaque,αδιαφανής
open,ανοίγω
open area,ξέφωτο
opening of a shirt,τραχιλιά
openly,ανοιχτά
openmindedness,ευρεία αντίληψη
open-mindedness,χωρίς προκατάληψη
open plan,χωρίς χωρίσματα
open sea,πέλαγος
open to doubt,υπό αμφισβήτηση
open to question,υπό συζήτηση
opera,όπερα
opera house,θέατρο παραστάσεων όπερας
opera singer,τραγουδιστής όπερας
operate,εγχειρίζω
operating room,χειρουργείο
operating theatre,θάλαμος εγχειρήσεως
operation,λειτουργία
operational,λειτουργικός
operator,χειριστής
opinion,γνωμάτευση
opinionated,ισχυρογνώμων
opponent,αντίπαλος
opportune,επίκαιρος
opportunity for,ευκαιρία
oppose,είμαι αντίθετος
opposing,αντίθετος
opposite direction,αντίθετη κατεύθυνση
opposite lane,αντίθετη λωρίδα κυκλοφορίας
opposition,αντιπολίτευση
oppressed,καταπιεσμένος
oppression,καταπίεση
oppressive,καταπιεστικός
opprobrious,υβριστικός
opthalmology,οφθαλμολογία
optician,οπτικός
optimism,αισιοδοξία
optimistic,αισιόδοξος
optimistically,αισιόδοξα
option,επιλογή
optional,προαιρερτικός
or,ή
oral,προφορικός
oral contraceptive,αντισυλληπτικό χάπι
orange,πορτοκαλί
orange juice,χυμός πορτοκαλάδας
oratory,ρητορική
orbit,τροχιά
orchard,περιβόλι
orchestra,ορχήστρα
orchestral,ορχηστρικός
orchestrate,ενορχηστρώνω
ordain,χειροτονώ
ordeal,δοκιμασία
order,προσταγή
ordinary,συνηθισμένος
ordination,χειροτονία
ore,μετάλλευμα
oregano,ρίγανη
organ,όργανο
organic,οργανικός
organic matter,οργανική ύλη
organisation,οργάνωση
organise,οργανώνω
organiser,οργανωτής
organist,οργανίστας
orgasm,οργασμός
orgy,όργιο
oriental,ανατολίτικος
orientate,προσανατολίζω
orifice,στόμιο
origin,προέλευση
original,γνήσιος
originality,πρωτοτυπία
originate,προέρχομαι
ornament,διακοσμητικό
ornamental,διακοσμητικός
ornate,πολύ στολισμένος
orphan,ορφανός
orphanage,ορφανοτροφείο
or so,περίπου
orthodontist,ορθοδοντικός
orthodox,ορθόδοξος
orthodoxy,ορθοδοξία
oscillate,ταλαντώνομαι
osier,λυγαριά
osprey,ψαραετός
ossicle,οστάριο
ostensible,φαινομενικός
ostensibly,φαινομενικά
ostentatious,επιδεικτικός
osteoporosis,οστεοπόρωση
ostracise,εξοστρακίζω
ostrich,στρουθοκάμηλος
ostrich mentality,στρουθοκαμηλισμός
other,άλλος
others,οι άλλοι
otherwise,διαφορετικά
otter,ενυδρίδα
ought,θα πρέπει
ought to,θα έπρεπε
ounce,ουγκιά
our,ο δικός μας
our hopes are all gone,άνθρακες ο θησαυρός
ourselves,εμείς οι ίδιοι
out,έξω
outbreak,ξέσπασμα
outburst,άγριο ξέσπασμα
outcome,απορροία
outcry,κατακραυγή
outdated,απαρχαιωμένος
outdoor,εξωτερικός
outer space,διάστημα
outfit,εξοπλισμός
outflanking,υπερφαλλάγγιση
outgoing,εξωστρεφής
outing,εκδρομή
outing to the zoo,εκδρομή στο ζωολογικό κήπο
outlast,διαρκώ περισότερα από
outlaw,θέτω εκτός νόμου
outlet,διέξοδος
outline,σκιαγραφώ
outlook,πρόβλεψη
outmoded,ξεπερασμένος
out of action,εκτός λειτουργίας
out of breath,λαχανιασμένος
out of control,ξέφυγε από το έλεγχο
out of court,εξωδικώς
out of danger,ξέφυγε από το κίνδυνο
out of date,ντεμοντέ
out-of date,ντεμοντέ
out of debt,δεν χρωστάω
out of doors,έξω
out of fashion,όχι πιά της μόδας
out of fear that,από το φόβο μήπως
out of hand,εκτός ελέγχου
out of luck,άτυχος
out of order,χαλασμένος
out of place,περίεργος
out of pocket,άφραγκος
out of practice,αγύμναστος
out of print,εξαντλημένο
out of range,εκτός βεληνεκούς
out of reach,που δεν μπορεί να το φτάσει
out of respect for,από σεβασμό για
out of season,εκτός εποχής
out of sight,άφαντος
out of sight out of mind,πέρα βρέχει
out of step,δεν συμβαδίαζω
out of stock,με εξαντλημένο απόθεμα
out of the ordinary,ασυνήθιστος
out of the question,αποκλείεται
out of the way,απόκεντρος
out of this world,ασύλληπτος
out of turn,εκτός σειράς
out of use,δεν λειτουργεί
out of work,άνεργος
out on a limb,σε δύσκολη θέση
out on bail,εκτός φυλακής με εγγύηση
out on one's feet,ξεθεωμένος
outpace,ξεπερνώ σε ταχύτητα
out-patients,εξωτερικά ιατρεία
outpouring,ξέσπασμα αισθημάτων
output,παραγωγή
outrage,οργή
outrageous,σκανδαλώδης
outright,απόλυτος
outrun,τρέχω γρηγορότερα
outset,αρχή
outside,έξω από
outsider,ξένος
outskirts,περίχωρα
outskirts are,περίχωρα
outspoken,ειλικρινής
outstanding,εξαιρετικός
outward appearance,εξωτερική εμφάνιση
outweigh,υπερτερώ
outwit,ξεγελώ
ouzo,ούζο
oval,οβάλ
ovary,ωάριο
ovation,επευφημία
over,πάνω
overall,γενικός
overalls,ολόσωμα
over and above,επί πλέον
over and over again,επαναλειμμένες φορές
overburden,παραφορτώνω
overcast,συννεφιασμένος
overcoat,πανωφόρι
overcome,ξεπερνώ
overcompensate,αναπληρώνω υπερβολικά
overconfident,με υπερβολική αυτοπεποίθηση
overcrowded,υπερπλήρης
overdo,εξογκώνω
overdo it,το παρακάνω
overdose,υπερβολική δόση
overestimate,υπερεκτιμώ
overflow,υπερχείλιση
overgrazing,εξάντληση χορταριού
overgrown,κατάφυτος
overheads,γενικά έξοδα
overhead travelling crane,κυλιόμενη γέφυρα
overhear,ωτακουστώ
overheat,υπερθερμαίνομαι
overheating,υπερθέρμανση
overhunting,κυνήγι σε υπερβολικό βαθμό
overide,υπερισχύω
overjoyed,πολύ χαρούμενος
overlap,συμπίπτω
overlapping,ύπερθεση
overload,υπερφορτώνω
overlook,παραβλέπω
overlooking,που έχει θέα προς
overly,υπερβολικά
overnight,διανυκτερεύω
overnight success,άμεση επιτυχία
overpopulate,πληθύνομαι υπέρμετρα
overpopulation,υπερπληθυσμός
overpower,κάνω ζάφτι
overrated,υπερτιμημένος
overrun,υπερβαίνω
overrun with,κατακλύζομαι από
overseas,στο εξωτερικό
oversee,επιβλέπω
overseer,επόπτης
oversight,αβλεψία
oversimplified,απλουστευμένος
oversimplify,απλουστεύω
overt,φανερός
overtake,προσπερνώ
overtaking,προσπέρασμα
overthrow,ανατροπή
overtime,υπερωρίες
overtone,απόηχος
overturn,μπατάρω
overturning,ανατροπή
overweight,υπέρβαρος
overwhelm,συντρίβω
overwhelmed,τσακισμένος
overwhelming,συντριπτικός
overwhelmingly,συντριπτικά
overworked,παραδουλεμένος
oviduct,σάλπιγγα
ovule,ωάριο
ovum,ωάριο
owe,οφείλω
owing to,εξ αιτίας
owl,κουκουβάγια
own,δικός μου
own,κατέχω
owner,κάτοχος
owner-occupier,ιδιοκτήτης κάτοικος
ownership,ιδιοκτησία
own up,ομολογώ το φταίξιμο
oxen,βόδια
oxidation,οξείδωση
oxide,οξείδιο
oxygen,οξυγόνο
oxygenation,οξυγόνωση
oxygen cycle,κύκλος του οξυγόνου
oxygen mask,μάσκα οξυγόνου
oyster,στρείδι
oystercatcher,στρειδοφάγος
ozone,όζον
ozone layer,στρώμα του όζοντος
pace,δρασκελιά
pacemaker,βηματοδότης
pace maker,λαγός
pace setter,λαγός
pacific,ειρηνικός
pack,συσκευάζω
packaged,συσκευασμένος
package holiday,οργανωμένες διακοπές
packager,συσκευαστής
packaging,συσκευασία
packed,παρασκευασμένος
packer,συσκευαστής
packet,πακέτο
pack saddle,σαμάρι
pad,μπλοκάκι
padding,παραγέμισμα
paddle,κοπηλατώ
padlock,λουκέτο
paediatrician,παιδίατρος
pagan,παγανιστής
page,σελίδα
pagoda,παγόδα
paid,βαλτός
pail,κουβάς
pain,πόνος
painful,οδυνηρός
painfully,οδυνηρά
pain in back,ραχιαλγία
pain in the neck,μπελάς
painkiller,παυσίπονο
painless,ανώδυνος
pains,κόπος
painstaking,φιλόπονος
painstakingly,επιμελώς
paint,βάφω
painted,βαμμένος
painter,βάφτης
painting,ζωγραφιά
painting. sign,πίνακας
paintwork,λουστράρισμα
pair,ζευγάρι
pairing,ζευγάρωμα
pal,φίλος
palace,μέγαρο
palaeontologist,παλαιοντολόγος
palatable,εύγευστος
palate,ουρανίσκος
palatine foramen,υπερώιον τρήμα
pale,ξανθός
pale complexion,ωχρό ή ανοιχτό χρώμα δέρματος
paleness,κιτρινίλα
palette,παλέτα
pallid harrier,στεπόκιρκος
palm,παλάμη
palm tree,φοίνικας
palpate,ψηλαφίζω
palyboy,πλέημποϊ
panacea,πανάκεια
pancake,τηγανίτα
pancreas,πάγκρεας
pandemonium,πανδαιμόνιο
pander,εκμαυλίζω
pander to a vice,υποβοηθώ ένα πάθος
panel,προεδρείο
panelling,ξύλινη επένδυση
Pan-European,πανευρωπαϊκός
pan-european,πανευρωπαϊκός
Panhellenic,πανελλήνιος
panhellenic,πανελλήνιος
panic,πανικός
panicky,πανικόβλητος
panic-stricken,πανικόβλητος
pannier,κοφίνι
panorama,πανόραμα
panspermy,πανσπερμία
pansy,πανσές
pant,λαχανιάζω
pantheon,πάνθεο
panther,πάνθηρας
panties,βράκα
panting,ασθμαίνων
pantomime,παντομίμα
pants,παντελόνι
pap,κουρκούτι
paper,εφημερίδα
paper-clips,συνδετήρες
papers,χαρτιά
paper streamer,σερπαντίνα
paperwork,γραφική δουλειά
papyrus,πάπυρος
par,ισότητα
parable,παραβολή
paracentesis,παρακέντηση
parachute,αλεξίπτωτο
parade,παρέλαση
paradigm,παράδειγμα
paradise,παράδεισος
paradox,παράδοξος
paradoxical,παράδοξος
paradoxically,παράδοξα
paradoxology,παραδοξολογία
paragon,υπόδειγμα
paragon of virtue,υπόδειγμα αρετής
paragraph,παράγραφος
parallax,παράλλαξη
parallel,παράλληλος
parallel bars,δίζυγο γυμναστικής
parallelogram,παραλληλόγραμμο
paralyse,παραλύω
paralysed,παράλυτος
paramilitary,παραστρατιωτικός
paranoia,παράνοια
paranoid,παρανοϊκός
parapet,πεζούλα
parasite,παράσιτο
parathion,παραθείο
parcel,δέμα
parch,ξεραίνω
parched,αποξηραμένος
pardon,χάρη
pardon me for,με συγχωρείτε που
parent,γονιός
parental,γονικός
parents,γονείς
pariah,παρίας
parietal bone,βρεγματικό οστό
Paris,Παρίσι
paris,Παρίσι
parish,ενορία
parish register,ληξιαρχείο
park,πάρκο
parking,πάρκινγκ
parking meter,παρκόμετρο
parking meters,παρκόμετρα
parking on double yellow lines,στάθμευση σε διπλές κίτρινες
parley,συνθηκολόγηση
parliament,κοινοβούλιο
parliamentarianism,κοινοβουλευτισμός
parliamentary,κοινοβουλευτικός
parody,παρωδία
parole,ομιλία
paroxysm,άγριο ξέσπασμα
parrot,παπαγάλος
parsley,μαϊντανός
parsnip,παστινάκη
parson,εφημέριος
parsonage,σπίτι του εφημέριου
part,χωρίζω
partial,μερικός
partial eclipse,μερική έκλειψη
participant,συμμέτοχος
participants,οι συμμετάσχεντες
participate in,συμμετέχω
participation in,συμμετοχή
participle,μετοχή
particle,σωματίδιο
particular,συγκεκριμένος
particularise,μερικεύω
particularly,ιδίως
parting,χωρίστρα
partisan,παρτιζάνος
partly,μερικώς
partner,ταίρι
partnership,συνεργασία
partridge,πέρδικα
part-time,μερική απασχόληση
parturition,τοκετός
party,συμβαλλόμενος
partying,ξεφάντωμα
party line,κομματική γραμμή
party spirit,πνεύμα της παρέας
party wall,μεσοτοιχία
parvenu,νεόπλουτος
pasionately,παθιασμένα
pass,στενά
passable,μέτριος
passably,υποφερτά
passage,κείμενο
passage of a bill,ψήφιση ενός νομοσχψεδίου
passage of time,πέρασμα του χρόνου
passageway,διαδρόμος
passage way,διάδρομος
pass away,πεθαίνω
pass down,μεταβιβάζω
passenger,επιβάτης
passenger train,επιβατικό τρένο
passerby,περαστικός
passer by,περαστικός
passers-by,περαστικοί
pass for,περνώ για
passing,περαστικός
passing out ceremony,γιορτή αποφοίτησης
passion,εμπάθεια
passionately,φλογερά
passive,παθητικός
passively,παθητικά
passive smoking,παθητικό κάπνισμα
pass key,αντικλείδι
pass off,εξελίσσομαι
pass off as,παριστάνω
pass on,μεταδίδω
pass out,μοιράζω
pass over,παραλείπω
passport,διαβατήριο
pass some news on to,μεταβιβάζω νέα σε
pass something off as,περνιέμαι για κάτι
pass water,κατουρώ
password,σύνθημα
past,παρελθόν
pasta,ζυμαρικό
past continuous,παρατατικός
paste,μπελτές
pastel,παστέλ
pastime,ενασχόληση
pastoral,ποιμενικός
past participle,παθητική μετοχή
past perfect,υπερσυντέλικος
pasture,βοσκή
pat,χαϊδεύω
patch,μπάλωμα
patches of fog,ομίχλη κατά τόπους
patch of ground,κομμάτι γη
patch of land,κομμάτι γης
patent,κατοχυρώνω ως πατέντα
patent leather,λουστρίνι
paternal,πατρικός
paternity,πατρότητα
paternoster,παραγάδι
path,μονοπάτι
pathfinder,ανιχνευτής
pathogenic,παθογόνος
pathological,παθολογικός
pathologist,παθολόγος
pathology,παθολογία
pathway,μονοπάτια
patience,καρτερία
patience of Job,ιώβεια υπομονή
patience of job,ιώβεια υπομονή
patience with,υπομονή
patient,ασθενής
patiently,υπομονετικά
patio,πλακόστρωτη εσωτερική αυλή
patriarch,πατριάρχης
patrician,πατρίκιος
patriot,πατριώτης
patriotic,πατριωτικός
patriotism,πατριωτισμός
patrol,περιπολία
patron,προστάτης
patronage,προστασία
pattern,σχέδιο
patterned,με σχέδιο
patι,πατέ
paunch,προκοίλι
pause,διακόπτω
pave,λιθοστρώνω
pavement,πεζόδρομος
pave the way for,προετοιμάζω το έδαφος για
paving,πλακόστρωση
paw,πόδι
pay,πληρωμή
payable,πληρωτέος
pay a compliment,κάνω φιλοφρόνηση
pay a deposit,καπαρώνω
pay a fine,πληρώνω ένα πρόστιμο
pay all due reverence to,τιμώ δέοντως
pay at the cashier's,πληρώνω στο ταμείο
pay a visit to,επισκέπτομαι
pay back,αναπληρώνω
pay compensation for,πληρώνω αποζημίωση
pay interest,πληρώνω τόκο
pay off,εξοφλώ
PC,προσωπικός υπολογιστής
pc,προσωπικός υπολογιστής
pea,μπιζέλι
pea brain,βλάχας
peace,ειρήνη
peach,γιαρμάς
peacock,παγόνι
peak,κορυφή
peaked cap,καπέλο με γείσο
pear,απίδι
pearl,μαργαριτάρι
pear-shaped,σε σχήμα αχλάδι
peas,αρακάς
peasant,χωριάτης
peasant's knapsack,ταγάρι
peat,τύρφη
pebble,κροκάλη
pebbled,με βότσαλο
peck,ραμφίζω
pecker,ψωλή
peckish,πεινασμένος
pectoral sandpiper,στικτοσκαλίδρα
peculiar,παράδοξος
peculiarly,περίεργα
pedal,πετάλι
pedal a bicycle,ποδηλατώ
pedalo,θαλάσσιο ποδήλατο
pedantic,σχολαστικός
pedantically,σχολαστικά
peddlar,πραματευτής
pedestal,βάθρο
pedestrian,πεζός
pedigree,οικογένεια
peel,ξύσμα
peep,κρυφοκοιτάζω
peeper,ματάκιας
peeping Tom,ματάκιας
peeping tom,ματάκιας
peer,όμοιος
peer out,κοτάζω προσεκτίκα από
peer protocol,ομότιμο πρωτόκολλο
peevish,πικρόχολος
peg,γόμφος
pekt it down,βρέχω καταρρακτωδώς
pellet,σκαγιά
pelt it down,βρέχω καταρρακτωδώς
pelvis,πύελος
pen,σταλός
penal,ποινικός
penal clause,ποινική ρήτρα
